median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id,sales
126500,2528,736,996,0.4936709,0.1542722,0.6301424,0.0530063,0.2188755,1050,0.0514286,0.77047620000000006,581,207,54021.91594717575
132600,4621,1253,1667,0.5085479,0.1294092,0.6074443,0.0285652,0.2129574,1760,0.0528409,0.7795455,578,253,53001.85407804249
102600,19749,5721,7710,0.5373943,0.1589448,0.5277229,0.1597043,0.2309987,8034,0.0403286,0.8525019,497,400,55021.854067989996
106700,3024,975,1472,0.5386905,0.0558862,0.4742063,0.3865741,0.28125,1924,0.2349272,0.5841996,761,720,54964.42636884491
202300,1666,569,848,0.5162065,0.0672269,0.517407,0.3667467,0.2841981,1301,0.3481937,0.7901614,653,731,51732.937697672234
107900,2925,856,1186,0.514188,0.1254701,0.5890598,0.1364103,0.2242833,1363,0.1298606,0.647102,538,734,52961.164252509414
107600,10030,3222,3972,0.5167498,0.1184447,0.5680957,0.1627119,0.1497986,5061,0.2151749,0.7642758,655,766,53387.712032477175
238400,1471,417,500,0.4949014,0.1441196,0.5921142,0.0645819,0.114,587,0.1482112,0.8415673,900,1302,53773.383206684994
280900,20390,5456,6610,0.5072094,0.1896518,0.5702795,0.0376165,0.1207262,6927,0.045763,0.8435109,1001,1304,58677.51426047078
209800,76459,17542,29078,0.471573,0.1895264,0.5494186,0.1180633,0.3152899,30520,0.0472477,0.5145806,747,1305,58329.50134569757
414900,12277,3626,4219,0.5023214,0.1679563,0.5897206,0.0901686,0.0995497,4337,0.0272077,0.9492737,1001,1306,56523.8348668899
194100,16327,4253,7192,0.5339009,0.1380535,0.5703436,0.12966250000000001,0.3071468,7468,0.0369577,0.4833958,833,1307,57343.63785311817
178200,82106,19328,28239,0.5237376,0.197245,0.5194139,0.1296738,0.2453699,29604,0.0461086,0.3992028,702,1308,59153.23466956575
